Vteam,Hteam
New York Knicks,Cleveland Cavaliers
San Antonio Spurs,Golden State Warriors
Utah Jazz,Portland Trail Blazers
Brooklyn Nets,Boston Celtics
Dallas Mavericks,Indiana Pacers
Houston Rockets,Los Angeles Lakers
Minnesota Timberwolves,Memphis Grizzlies
Charlotte Hornets,Milwaukee Bucks
Denver Nuggets,New Orleans Pelicans
Miami Heat,Orlando Magic
Oklahoma City Thunder,Philadelphia 76ers
Sacramento Kings,Phoenix Suns
Detroit Pistons,Toronto Raptors
Washington Wizards,Atlanta Hawks
Boston Celtics,Chicago Bulls
Los Angeles Clippers,Portland Trail Blazers
San Antonio Spurs,Sacramento Kings
Indiana Pacers,Brooklyn Nets
Houston Rockets,Dallas Mavericks
Orlando Magic,Detroit Pistons
Charlotte Hornets,Miami Heat
Golden State Warriors,New Orleans Pelicans
Phoenix Suns,Oklahoma City Thunder
Cleveland Cavaliers,Toronto Raptors
Los Angeles Lakers,Utah Jazz
Indiana Pacers,Chicago Bulls
Boston Celtics,Charlotte Hornets
Orlando Magic,Cleveland Cavaliers
Portland Trail Blazers,Denver Nuggets
Brooklyn Nets,Milwaukee Bucks
Memphis Grizzlies,New York Knicks
Atlanta Hawks,Philadelphia 76ers
Minnesota Timberwolves,Sacramento Kings
New Orleans Pelicans,San Antonio Spurs
Milwaukee Bucks,Detroit Pistons
Dallas Mavericks,Houston Rockets
Utah Jazz,Los Angeles Clippers
Washington Wizards,Memphis Grizzlies
San Antonio Spurs,Miami Heat
Los Angeles Lakers,Oklahoma City Thunder
Golden State Warriors,Phoenix Suns
Sacramento Kings,Atlanta Hawks
Chicago Bulls,Brooklyn Nets
Phoenix Suns,Los Angeles Clippers
Denver Nuggets,Toronto Raptors
Houston Rockets,Cleveland Cavaliers
New York Knicks,Detroit Pistons
Los Angeles Lakers,Indiana Pacers
Sacramento Kings,Miami Heat
Memphis Grizzlies,Minnesota Timberwolves
Milwaukee Bucks,New Orleans Pelicans
Orlando Magic,Philadelphia 76ers
Golden State Warriors,Portland Trail Blazers
Utah Jazz,San Antonio Spurs
Los Angeles Lakers,Atlanta Hawks
Chicago Bulls,Boston Celtics
Detroit Pistons,Brooklyn Nets
Philadelphia 76ers,Charlotte Hornets
Oklahoma City Thunder,Los Angeles Clippers
New Orleans Pelicans,Memphis Grizzlies
Houston Rockets,New York Knicks
Portland Trail Blazers,Phoenix Suns
Dallas Mavericks,Utah Jazz
Toronto Raptors,Washington Wizards
Boston Celtics,Cleveland Cavaliers
Oklahoma City Thunder,Golden State Warriors
Indiana Pacers,Milwaukee Bucks
Denver Nuggets,Minnesota Timberwolves
Sacramento Kings,Orlando Magic
Charlotte Hornets,Brooklyn Nets
New York Knicks,Chicago Bulls
Portland Trail Blazers,Dallas Mavericks
Golden State Warriors,Los Angeles Lakers
Los Angeles Clippers,Memphis Grizzlies
Phoenix Suns,New Orleans Pelicans
Miami Heat,Toronto Raptors
San Antonio Spurs,Utah Jazz
Atlanta Hawks,Washington Wizards
Houston Rockets,Atlanta Hawks
Denver Nuggets,Detroit Pistons
Chicago Bulls,Indiana Pacers
Sacramento Kings,Milwaukee Bucks
Minnesota Timberwolves,Oklahoma City Thunder
Washington Wizards,Orlando Magic
Cleveland Cavaliers,Philadelphia 76ers
Los Angeles Clippers,San Antonio Spurs
Denver Nuggets,Boston Celtics
Milwaukee Bucks,Dallas Mavericks
Phoenix Suns,Los Angeles Lakers
Portland Trail Blazers,Memphis Grizzlies
Utah Jazz,New York Knicks
Sacramento Kings,Toronto Raptors
Orlando Magic,Chicago Bulls
Indiana Pacers,Charlotte Hornets
New Orleans Pelicans,Golden State Warriors
Detroit Pistons,Los Angeles Clippers
Miami Heat,Oklahoma City Thunder
Utah Jazz,Philadelphia 76ers
Houston Rockets,Washington Wizards
Minnesota Timberwolves,Brooklyn Nets
Atlanta Hawks,Cleveland Cavaliers
Dallas Mavericks,Los Angeles Lakers
Denver Nuggets,Memphis Grizzlies
Phoenix Suns,Portland Trail Blazers
New Orleans Pelicans,Sacramento Kings
Chicago Bulls,Atlanta Hawks
Utah Jazz,Charlotte Hornets
Dallas Mavericks,Golden State Warriors
Philadelphia 76ers,Indiana Pacers
Portland Trail Blazers,Los Angeles Clippers
Brooklyn Nets,New York Knicks
Toronto Raptors,Oklahoma City Thunder
Minnesota Timberwolves,Orlando Magic
Detroit Pistons,Phoenix Suns
Houston Rockets,San Antonio Spurs
Boston Celtics,Washington Wizards
Golden State Warriors,Denver Nuggets
Chicago Bulls,Miami Heat
New Orleans Pelicans,Milwaukee Bucks
Los Angeles Lakers,Sacramento Kings
New York Knicks,Boston Celtics
Toronto Raptors,Charlotte Hornets
Los Angeles Clippers,Oklahoma City Thunder
Utah Jazz,Orlando Magic
Indiana Pacers,Philadelphia 76ers
Sacramento Kings,Portland Trail Blazers
Detroit Pistons,San Antonio Spurs
Cleveland Cavaliers,Washington Wizards
Philadelphia 76ers,Atlanta Hawks
Washington Wizards,Chicago Bulls
Detroit Pistons,Denver Nuggets
San Antonio Spurs,Houston Rockets
Boston Celtics,Indiana Pacers
Utah Jazz,Miami Heat
Memphis Grizzlies,Milwaukee Bucks
Los Angeles Clippers,Minnesota Timberwolves
Los Angeles Lakers,New Orleans Pelicans
Brooklyn Nets,Phoenix Suns
New York Knicks,Toronto Raptors
Charlotte Hornets,Cleveland Cavaliers
Phoenix Suns,Golden State Warriors
Los Angeles Lakers,Minnesota Timberwolves
Orlando Magic,Oklahoma City Thunder
Denver Nuggets,Portland Trail Blazers
Oklahoma City Thunder,Detroit Pistons
Philadelphia 76ers,Houston Rockets
Orlando Magic,Indiana Pacers
Brooklyn Nets,Los Angeles Clippers
Boston Celtics,New Orleans Pelicans
Dallas Mavericks,New York Knicks
Miami Heat,San Antonio Spurs
Memphis Grizzlies,Utah Jazz
Toronto Raptors,Cleveland Cavaliers
Brooklyn Nets,Los Angeles Lakers
Atlanta Hawks,Miami Heat
Charlotte Hornets,Minnesota Timberwolves
Chicago Bulls,Portland Trail Blazers
Milwaukee Bucks,Atlanta Hawks
Dallas Mavericks,Boston Celtics
Phoenix Suns,Denver Nuggets
Cleveland Cavaliers,Indiana Pacers
Memphis Grizzlies,Los Angeles Clippers
Detroit Pistons,New York Knicks
Houston Rockets,Oklahoma City Thunder
New Orleans Pelicans,Orlando Magic
Washington Wizards,Philadelphia 76ers
San Antonio Spurs,Sacramento Kings
Golden State Warriors,Toronto Raptors
Portland Trail Blazers,Houston Rockets
Milwaukee Bucks,Miami Heat
Philadelphia 76ers,Minnesota Timberwolves
Chicago Bulls,Utah Jazz
New York Knicks,Washington Wizards
Golden State Warriors,Boston Celtics
Atlanta Hawks,Charlotte Hornets
Detroit Pistons,Cleveland Cavaliers
Memphis Grizzlies,Dallas Mavericks
Toronto Raptors,Denver Nuggets
Phoenix Suns,Indiana Pacers
San Antonio Spurs,Los Angeles Lakers
Portland Trail Blazers,New Orleans Pelicans
Brooklyn Nets,Oklahoma City Thunder
Los Angeles Clippers,Sacramento Kings
Boston Celtics,Detroit Pistons
Utah Jazz,Houston Rockets
Chicago Bulls,Los Angeles Clippers
Minnesota Timberwolves,Memphis Grizzlies
Golden State Warriors,Milwaukee Bucks
Charlotte Hornets,New Orleans Pelicans
Dallas Mavericks,Orlando Magic
Phoenix Suns,Philadelphia 76ers
Miami Heat,Washington Wizards
Portland Trail Blazers,Brooklyn Nets
Utah Jazz,Denver Nuggets
Chicago Bulls,Los Angeles Lakers
Atlanta Hawks,New York Knicks
Indiana Pacers,Oklahoma City Thunder
Toronto Raptors,Sacramento Kings
Memphis Grizzlies,Charlotte Hornets
Houston Rockets,Detroit Pistons
Golden State Warriors,Indiana Pacers
Toronto Raptors,Los Angeles Clippers
Orlando Magic,Milwaukee Bucks
Boston Celtics,Minnesota Timberwolves
Miami Heat,Philadelphia 76ers
Dallas Mavericks,San Antonio Spurs
Phoenix Suns,Washington Wizards
New Orleans Pelicans,Atlanta Hawks
Chicago Bulls,Denver Nuggets
Oklahoma City Thunder,Los Angeles Lakers
Portland Trail Blazers,New York Knicks
Boston Celtics,Brooklyn Nets
San Antonio Spurs,Charlotte Hornets
Portland Trail Blazers,Cleveland Cavaliers
Los Angeles Clippers,Dallas Mavericks
Miami Heat,Detroit Pistons
Los Angeles Lakers,Golden State Warriors
Toronto Raptors,Houston Rockets
Atlanta Hawks,Indiana Pacers
Minnesota Timberwolves,New Orleans Pelicans
Phoenix Suns,Orlando Magic
Memphis Grizzlies,Philadelphia 76ers
Oklahoma City Thunder,Sacramento Kings
Denver Nuggets,Utah Jazz
San Antonio Spurs,Boston Celtics
Dallas Mavericks,Cleveland Cavaliers
Oklahoma City Thunder,Denver Nuggets
Los Angeles Clippers,Detroit Pistons
Brooklyn Nets,Indiana Pacers
Golden State Warriors,Los Angeles Lakers
Miami Heat,Memphis Grizzlies
Toronto Raptors,Milwaukee Bucks
Charlotte Hornets,New York Knicks
Washington Wizards,Orlando Magic
Chicago Bulls,Philadelphia 76ers
Minnesota Timberwolves,Phoenix Suns
New Orleans Pelicans,Portland Trail Blazers
Houston Rockets,Sacramento Kings
Atlanta Hawks,Utah Jazz
New York Knicks,Charlotte Hornets
Minnesota Timberwolves,Golden State Warriors
Memphis Grizzlies,Miami Heat
Detroit Pistons,Oklahoma City Thunder
San Antonio Spurs,Washington Wizards
Sacramento Kings,Brooklyn Nets
New Orleans Pelicans,Dallas Mavericks
Los Angeles Clippers,Indiana Pacers
Atlanta Hawks,Los Angeles Lakers
Milwaukee Bucks,Orlando Magic
Cleveland Cavaliers,Philadelphia 76ers
Denver Nuggets,Phoenix Suns
Houston Rockets,Portland Trail Blazers
Atlanta Hawks,Golden State Warriors
Charlotte Hornets,Memphis Grizzlies
Boston Celtics,Miami Heat
Utah Jazz,Minnesota Timberwolves
Oklahoma City Thunder,New York Knicks
Philadelphia 76ers,Toronto Raptors
Sacramento Kings,Washington Wizards
Los Angeles Clippers,Brooklyn Nets
Detroit Pistons,Charlotte Hornets
Cleveland Cavaliers,Milwaukee Bucks
Los Angeles Lakers,New Orleans Pelicans
Orlando Magic,San Antonio Spurs
Houston Rockets,Utah Jazz
Detroit Pistons,Boston Celtics
Los Angeles Lakers,Chicago Bulls
San Antonio Spurs,Dallas Mavericks
Miami Heat,Denver Nuggets
New York Knicks,Minnesota Timberwolves
Washington Wizards,Oklahoma City Thunder
Atlanta Hawks,Phoenix Suns
Indiana Pacers,Portland Trail Blazers
Memphis Grizzlies,Toronto Raptors
Milwaukee Bucks,Brooklyn Nets
Dallas Mavericks,Charlotte Hornets
Los Angeles Clippers,Cleveland Cavaliers
Houston Rockets,Golden State Warriors
Orlando Magic,Memphis Grizzlies
Miami Heat,Utah Jazz
Detroit Pistons,Atlanta Hawks
Sacramento Kings,Boston Celtics
Cleveland Cavaliers,Chicago Bulls
Houston Rockets,Denver Nuggets
Los Angeles Clippers,New Orleans Pelicans
Minnesota Timberwolves,New York Knicks
Orlando Magic,Philadelphia 76ers
Washington Wizards,San Antonio Spurs
Los Angeles Lakers,Toronto Raptors
Minnesota Timberwolves,Charlotte Hornets
Chicago Bulls,Dallas Mavericks
Phoenix Suns,Golden State Warriors
Los Angeles Lakers,Memphis Grizzlies
Brooklyn Nets,Milwaukee Bucks
Boston Celtics,Philadelphia 76ers
Miami Heat,Portland Trail Blazers
Atlanta Hawks,Toronto Raptors
Denver Nuggets,Utah Jazz
Orlando Magic,Detroit Pistons
Indiana Pacers,Los Angeles Clippers
Sacramento Kings,New York Knicks
New Orleans Pelicans,Oklahoma City Thunder
Oklahoma City Thunder,Atlanta Hawks
Washington Wizards,Brooklyn Nets
Portland Trail Blazers,Chicago Bulls
Charlotte Hornets,Dallas Mavericks
Indiana Pacers,Golden State Warriors
Boston Celtics,Houston Rockets
Utah Jazz,Los Angeles Lakers
San Antonio Spurs,Milwaukee Bucks
Memphis Grizzlies,New Orleans Pelicans
Denver Nuggets,Philadelphia 76ers
Cleveland Cavaliers,Toronto Raptors
Chicago Bulls,Detroit Pistons
Philadelphia 76ers,Memphis Grizzlies
New York Knicks,Miami Heat
San Antonio Spurs,Minnesota Timberwolves
Phoenix Suns,Utah Jazz
Orlando Magic,Washington Wizards
Miami Heat,Atlanta Hawks
Denver Nuggets,Brooklyn Nets
Detroit Pistons,Charlotte Hornets
Sacramento Kings,Dallas Mavericks
Los Angeles Lakers,Houston Rockets
Golden State Warriors,Los Angeles Clippers
Portland Trail Blazers,Milwaukee Bucks
Cleveland Cavaliers,New York Knicks
Boston Celtics,Orlando Magic
Indiana Pacers,Phoenix Suns
San Antonio Spurs,Chicago Bulls
Portland Trail Blazers,Memphis Grizzlies
Philadelphia 76ers,New Orleans Pelicans
Minnesota Timberwolves,Toronto Raptors
Golden State Warriors,Utah Jazz
Denver Nuggets,Washington Wizards
Toronto Raptors,Boston Celtics
Orlando Magic,Charlotte Hornets
Miami Heat,Cleveland Cavaliers
Indiana Pacers,Dallas Mavericks
Phoenix Suns,Los Angeles Lakers
Atlanta Hawks,Milwaukee Bucks
Detroit Pistons,Minnesota Timberwolves
Houston Rockets,Oklahoma City Thunder
New York Knicks,Sacramento Kings
Miami Heat,Chicago Bulls
Charlotte Hornets,Cleveland Cavaliers
Dallas Mavericks,Houston Rockets
Portland Trail Blazers,Indiana Pacers
New Orleans Pelicans,Los Angeles Clippers
Golden State Warriors,Memphis Grizzlies
Denver Nuggets,Orlando Magic
Brooklyn Nets,San Antonio Spurs
Sacramento Kings,Utah Jazz
Milwaukee Bucks,Washington Wizards
Philadelphia 76ers,Detroit Pistons
New York Knicks,Los Angeles Lakers
Golden State Warriors,Minnesota Timberwolves
Boston Celtics,Oklahoma City Thunder
New Orleans Pelicans,Phoenix Suns
Denver Nuggets,Dallas Mavericks
Brooklyn Nets,Houston Rockets
Charlotte Hornets,Indiana Pacers
Portland Trail Blazers,Los Angeles Clippers
Washington Wizards,Miami Heat
Los Angeles Lakers,Sacramento Kings
Milwaukee Bucks,Toronto Raptors
Orlando Magic,Atlanta Hawks
Minnesota Timberwolves,Chicago Bulls
Memphis Grizzlies,Cleveland Cavaliers
Golden State Warriors,New Orleans Pelicans
New York Knicks,Phoenix Suns
Oklahoma City Thunder,Portland Trail Blazers
Los Angeles Lakers,Brooklyn Nets
Detroit Pistons,Dallas Mavericks
Sacramento Kings,Houston Rockets
Cleveland Cavaliers,Memphis Grizzlies
Indiana Pacers,Miami Heat
Los Angeles Clippers,Orlando Magic
Toronto Raptors,Philadelphia 76ers
Boston Celtics,San Antonio Spurs
Oklahoma City Thunder,Utah Jazz
Charlotte Hornets,Washington Wizards
Portland Trail Blazers,Denver Nuggets
New York Knicks,Golden State Warriors
Chicago Bulls,Milwaukee Bucks
Indiana Pacers,New Orleans Pelicans
San Antonio Spurs,Phoenix Suns
Charlotte Hornets,Boston Celtics
Milwaukee Bucks,Chicago Bulls
New Orleans Pelicans,Houston Rockets
Sacramento Kings,Memphis Grizzlies
Los Angeles Clippers,Miami Heat
Brooklyn Nets,Orlando Magic
Los Angeles Lakers,Philadelphia 76ers
Atlanta Hawks,Toronto Raptors
Dallas Mavericks,Utah Jazz
Detroit Pistons,Washington Wizards
Charlotte Hornets,Atlanta Hawks
Los Angeles Lakers,Cleveland Cavaliers
New York Knicks,Denver Nuggets
Indiana Pacers,Detroit Pistons
Portland Trail Blazers,Golden State Warriors
Houston Rockets,Minnesota Timberwolves
Phoenix Suns,Oklahoma City Thunder
Sacramento Kings,Dallas Mavericks
Utah Jazz,Memphis Grizzlies
Boston Celtics,Miami Heat
Toronto Raptors,Orlando Magic
Brooklyn Nets,Philadelphia 76ers
New Orleans Pelicans,San Antonio Spurs
Los Angeles Clippers,Washington Wizards
Detroit Pistons,Chicago Bulls
Dallas Mavericks,Denver Nuggets
Washington Wizards,Indiana Pacers
Phoenix Suns,Minnesota Timberwolves
Atlanta Hawks,Oklahoma City Thunder
Los Angeles Lakers,Charlotte Hornets
Utah Jazz,Golden State Warriors
San Antonio Spurs,Houston Rockets
Denver Nuggets,Los Angeles Clippers
Boston Celtics,Memphis Grizzlies
Orlando Magic,Miami Heat
Cleveland Cavaliers,Milwaukee Bucks
Indiana Pacers,New York Knicks
New Orleans Pelicans,Philadelphia 76ers
Portland Trail Blazers,Sacramento Kings
Brooklyn Nets,Toronto Raptors
Minnesota Timberwolves,Atlanta Hawks
Washington Wizards,Chicago Bulls
Milwaukee Bucks,Cleveland Cavaliers
Memphis Grizzlies,Detroit Pistons
Oklahoma City Thunder,New Orleans Pelicans
Houston Rockets,Phoenix Suns
Dallas Mavericks,Portland Trail Blazers
Sacramento Kings,Utah Jazz
Golden State Warriors,Brooklyn Nets
Boston Celtics,Indiana Pacers
San Antonio Spurs,Los Angeles Clippers
Los Angeles Lakers,Miami Heat
Orlando Magic,New York Knicks
Oklahoma City Thunder,Boston Celtics
Chicago Bulls,Charlotte Hornets
Brooklyn Nets,Cleveland Cavaliers
Atlanta Hawks,Denver Nuggets
Golden State Warriors,Detroit Pistons
Dallas Mavericks,Los Angeles Clippers
Houston Rockets,Memphis Grizzlies
Washington Wizards,Milwaukee Bucks
Sacramento Kings,Minnesota Timberwolves
Miami Heat,New Orleans Pelicans
Los Angeles Lakers,Orlando Magic
Philadelphia 76ers,Phoenix Suns
San Antonio Spurs,Portland Trail Blazers
Toronto Raptors,Utah Jazz
Golden State Warriors,Cleveland Cavaliers
Los Angeles Clippers,Los Angeles Lakers
Boston Celtics,New York Knicks
Minnesota Timberwolves,Oklahoma City Thunder
Chicago Bulls,San Antonio Spurs
Charlotte Hornets,Brooklyn Nets
Indiana Pacers,Chicago Bulls
Cleveland Cavaliers,Detroit Pistons
Phoenix Suns,Houston Rockets
Denver Nuggets,Los Angeles Clippers
Atlanta Hawks,Minnesota Timberwolves
Dallas Mavericks,New Orleans Pelicans
Memphis Grizzlies,Orlando Magic
Toronto Raptors,Portland Trail Blazers
Philadelphia 76ers,Sacramento Kings
Milwaukee Bucks,Washington Wizards
Memphis Grizzlies,Boston Celtics
Houston Rockets,Dallas Mavericks
Utah Jazz,Los Angeles Lakers
Oklahoma City Thunder,Miami Heat
New York Knicks,Atlanta Hawks
Brooklyn Nets,Chicago Bulls
Minnesota Timberwolves,Denver Nuggets
Milwaukee Bucks,Detroit Pistons
Toronto Raptors,Golden State Warriors
Los Angeles Clippers,New Orleans Pelicans
Charlotte Hornets,Orlando Magic
Sacramento Kings,Portland Trail Blazers
Phoenix Suns,San Antonio Spurs
Indiana Pacers,Washington Wizards
Miami Heat,Charlotte Hornets
Boston Celtics,Cleveland Cavaliers
Dallas Mavericks,Los Angeles Lakers
Oklahoma City Thunder,Memphis Grizzlies
Toronto Raptors,Phoenix Suns
Philadelphia 76ers,Utah Jazz
Detroit Pistons,Atlanta Hawks
Miami Heat,Boston Celtics
Philadelphia 76ers,Denver Nuggets
Dallas Mavericks,Golden State Warriors
Los Angeles Clippers,Houston Rockets
Chicago Bulls,Indiana Pacers
Milwaukee Bucks,Minnesota Timberwolves
New York Knicks,New Orleans Pelicans
Portland Trail Blazers,San Antonio Spurs
Brooklyn Nets,Washington Wizards
Milwaukee Bucks,Chicago Bulls
Cleveland Cavaliers,Charlotte Hornets
New York Knicks,Houston Rockets
Los Angeles Clippers,Oklahoma City Thunder
Memphis Grizzlies,Sacramento Kings
Phoenix Suns,Utah Jazz
San Antonio Spurs,Atlanta Hawks
Orlando Magic,Indiana Pacers
Toronto Raptors,Los Angeles Lakers
Detroit Pistons,Miami Heat
Portland Trail Blazers,Minnesota Timberwolves
Utah Jazz,Brooklyn Nets
Charlotte Hornets,Chicago Bulls
New Orleans Pelicans,Cleveland Cavaliers
Denver Nuggets,Golden State Warriors
Washington Wizards,Houston Rockets
Phoenix Suns,Los Angeles Clippers
Oklahoma City Thunder,Milwaukee Bucks
Orlando Magic,New York Knicks
Utah Jazz,Boston Celtics
Washington Wizards,Dallas Mavericks
Sacramento Kings,Denver Nuggets
Indiana Pacers,Detroit Pistons
Memphis Grizzlies,Los Angeles Lakers
Minnesota Timberwolves,Philadelphia 76ers
Miami Heat,Phoenix Suns
Toronto Raptors,San Antonio Spurs
Oklahoma City Thunder,Charlotte Hornets
Chicago Bulls,Cleveland Cavaliers
Portland Trail Blazers,Golden State Warriors
Memphis Grizzlies,Los Angeles Clippers
Milwaukee Bucks,New York Knicks
Atlanta Hawks,Orlando Magic
Miami Heat,Sacramento Kings
Phoenix Suns,Dallas Mavericks
San Antonio Spurs,Denver Nuggets
Charlotte Hornets,Detroit Pistons
Oklahoma City Thunder,Houston Rockets
Brooklyn Nets,Indiana Pacers
Atlanta Hawks,New Orleans Pelicans
Los Angeles Lakers,Portland Trail Blazers
Utah Jazz,Toronto Raptors
Philadelphia 76ers,Boston Celtics
Cleveland Cavaliers,Brooklyn Nets
Memphis Grizzlies,Golden State Warriors
Miami Heat,Los Angeles Lakers
New York Knicks,Milwaukee Bucks
Houston Rockets,Orlando Magic
Los Angeles Clippers,Sacramento Kings
Minnesota Timberwolves,Washington Wizards
New Orleans Pelicans,Boston Celtics
Toronto Raptors,Chicago Bulls
Atlanta Hawks,Dallas Mavericks
New York Knicks,Indiana Pacers
Utah Jazz,Minnesota Timberwolves
Denver Nuggets,Oklahoma City Thunder
Charlotte Hornets,San Antonio Spurs
Philadelphia 76ers,Brooklyn Nets
Miami Heat,Los Angeles Clippers
Orlando Magic,Los Angeles Lakers
Utah Jazz,Memphis Grizzlies
Washington Wizards,Milwaukee Bucks
Cleveland Cavaliers,Phoenix Suns
Detroit Pistons,Portland Trail Blazers
Golden State Warriors,Sacramento Kings
Houston Rockets,Toronto Raptors
Oklahoma City Thunder,Chicago Bulls
Dallas Mavericks,Minnesota Timberwolves
New Orleans Pelicans,New York Knicks
Atlanta Hawks,Brooklyn Nets
Miami Heat,Golden State Warriors
Charlotte Hornets,Houston Rockets
Portland Trail Blazers,Los Angeles Lakers
Detroit Pistons,Sacramento Kings
Milwaukee Bucks,San Antonio Spurs
Boston Celtics,Toronto Raptors
Cleveland Cavaliers,Utah Jazz
Chicago Bulls,Washington Wizards
Washington Wizards,Boston Celtics
Orlando Magic,Los Angeles Clippers
Houston Rockets,Minnesota Timberwolves
Memphis Grizzlies,Oklahoma City Thunder
New York Knicks,Philadelphia 76ers
Cleveland Cavaliers,Portland Trail Blazers
New Orleans Pelicans,Brooklyn Nets
Indiana Pacers,Denver Nuggets
Detroit Pistons,Golden State Warriors
Chicago Bulls,New York Knicks
Dallas Mavericks,Phoenix Suns
Los Angeles Lakers,San Antonio Spurs
Boston Celtics,Atlanta Hawks
Memphis Grizzlies,Houston Rockets
Miami Heat,Milwaukee Bucks
Oklahoma City Thunder,Minnesota Timberwolves
Charlotte Hornets,Philadelphia 76ers
Orlando Magic,Portland Trail Blazers
Cleveland Cavaliers,Sacramento Kings
Brooklyn Nets,Toronto Raptors
Detroit Pistons,Utah Jazz
New Orleans Pelicans,Chicago Bulls
Los Angeles Lakers,Los Angeles Clippers
San Antonio Spurs,Phoenix Suns
Orlando Magic,Utah Jazz
Philadelphia 76ers,Washington Wizards
Milwaukee Bucks,Atlanta Hawks
Houston Rockets,Brooklyn Nets
Minnesota Timberwolves,Dallas Mavericks
Detroit Pistons,Los Angeles Lakers
Chicago Bulls,Memphis Grizzlies
Oklahoma City Thunder,Sacramento Kings
New York Knicks,Toronto Raptors
Charlotte Hornets,Boston Celtics
Orlando Magic,Denver Nuggets
