WTeam,LTeam,WLoc
Atlanta Hawks,New York Knicks,V
San Antonio Spurs,Brooklyn Nets,H
Memphis Grizzlies,Brooklyn Nets,H
Chicago Bulls,Brooklyn Nets,V
Detroit Pistons,Chicago Bulls,H
Miami Heat,Charlotte Hornets,H
Atlanta Hawks,Charlotte Hornets,H
Chicago Bulls,Cleveland Cavaliers,H
Cleveland Cavaliers,Memphis Grizzlies,V
Dallas Mavericks,Phoenix Suns,V
Los Angeles Clippers,Dallas Mavericks,H
Denver Nuggets,Houston Rockets,V
Detroit Pistons,Atlanta Hawks,V
Golden State Warriors,Houston Rockets,V
Golden State Warriors,New Orleans Pelicans,V
Toronto Raptors,Indiana Pacers,H
Los Angeles Clippers,Sacramento Kings,V
Sacramento Kings,Los Angeles Lakers,H
Memphis Grizzlies,Indiana Pacers,V
Cleveland Cavaliers,Miami Heat,H
Minnesota Timberwolves,Los Angeles Lakers,V
Minnesota Timberwolves,Denver Nuggets,V
Golden State Warriors,New Orleans Pelicans,H
Portland Trail Blazers,New Orleans Pelicans,H
New York Knicks,Milwaukee Bucks,V
New York Knicks,Washington Wizards,V
Oklahoma City Thunder,Orlando Magic,V
Boston Celtics,Philadelphia 76ers,H
Phoenix Suns,Portland Trail Blazers,V
Phoenix Suns,Portland Trail Blazers,H
Los Angeles Clippers,Sacramento Kings,H
Oklahoma City Thunder,San Antonio Spurs,H
Toronto Raptors,Boston Celtics,V
Detroit Pistons,Utah Jazz,H
Utah Jazz,Philadelphia 76ers,V
Utah Jazz,Indiana Pacers,V
Washington Wizards,Orlando Magic,V
Washington Wizards,Milwaukee Bucks,V
San Antonio Spurs,Boston Celtics,V
Chicago Bulls,Orlando Magic,H
Atlanta Hawks,Charlotte Hornets,V
Dallas Mavericks,Los Angeles Lakers,V
Miami Heat,Houston Rockets,H
Oklahoma City Thunder,Denver Nuggets,H
Toronto Raptors,Milwaukee Bucks,H
Milwaukee Bucks,Brooklyn Nets,V
Golden State Warriors,Memphis Grizzlies,H
Houston Rockets,Oklahoma City Thunder,H
Los Angeles Clippers,Phoenix Suns,H
Portland Trail Blazers,Minnesota Timberwolves,V
San Antonio Spurs,New York Knicks,V
Cleveland Cavaliers,Philadelphia 76ers,V
Charlotte Hornets,Chicago Bulls,H
Toronto Raptors,Dallas Mavericks,V
Indiana Pacers,Detroit Pistons,V
Denver Nuggets,Los Angeles Lakers,V
Atlanta Hawks,Miami Heat,V
Orlando Magic,New Orleans Pelicans,V
Memphis Grizzlies,Sacramento Kings,V
Atlanta Hawks,Brooklyn Nets,H
Cleveland Cavaliers,New York Knicks,H
Golden State Warriors,Los Angeles Clippers,H
Houston Rockets,Orlando Magic,H
Indiana Pacers,Boston Celtics,H
Milwaukee Bucks,Philadelphia 76ers,H
Toronto Raptors,Oklahoma City Thunder,V
Phoenix Suns,Sacramento Kings,H
Portland Trail Blazers,Utah Jazz,V
Washington Wizards,San Antonio Spurs,H
Chicago Bulls,Oklahoma City Thunder,H
Charlotte Hornets,Dallas Mavericks,V
Utah Jazz,Denver Nuggets,V
Miami Heat,Minnesota Timberwolves,V
Portland Trail Blazers,Memphis Grizzlies,H
Boston Celtics,Washington Wizards,H
Los Angeles Lakers,Brooklyn Nets,V
Cleveland Cavaliers,Philadelphia 76ers,H
Golden State Warriors,Denver Nuggets,H
Indiana Pacers,Miami Heat,H
Atlanta Hawks,New Orleans Pelicans,V
Milwaukee Bucks,New York Knicks,V
Orlando Magic,Toronto Raptors,H
Detroit Pistons,Phoenix Suns,V
Houston Rockets,Sacramento Kings,V
Atlanta Hawks,Washington Wizards,H
Minnesota Timberwolves,Chicago Bulls,V
Dallas Mavericks,New Orleans Pelicans,H
Houston Rockets,Los Angeles Clippers,V
Milwaukee Bucks,Brooklyn Nets,H
Orlando Magic,Philadelphia 76ers,V
Golden State Warriors,Sacramento Kings,V
San Antonio Spurs,Charlotte Hornets,H
Utah Jazz,Memphis Grizzlies,H
Cleveland Cavaliers,Indiana Pacers,H
Miami Heat,Toronto Raptors,H
New York Knicks,Los Angeles Lakers,H
Oklahoma City Thunder,Phoenix Suns,H
Detroit Pistons,Portland Trail Blazers,V
Minnesota Timberwolves,Atlanta Hawks,V
Denver Nuggets,Portland Trail Blazers,H
Golden State Warriors,Detroit Pistons,H
Indiana Pacers,Orlando Magic,H
Los Angeles Clippers,Memphis Grizzlies,H
Chicago Bulls,Philadelphia 76ers,V
San Antonio Spurs,Sacramento Kings,V
Cleveland Cavaliers,Utah Jazz,H
Miami Heat,Los Angeles Lakers,H
Boston Celtics,Milwaukee Bucks,V
Charlotte Hornets,Minnesota Timberwolves,V
New Orleans Pelicans,Dallas Mavericks,H
New York Knicks,Toronto Raptors,V
Oklahoma City Thunder,Washington Wizards,V
Atlanta Hawks,New Orleans Pelicans,H
Indiana Pacers,Boston Celtics,V
Charlotte Hornets,New York Knicks,H
Dallas Mavericks,Los Angeles Clippers,H
Denver Nuggets,Milwaukee Bucks,H
Brooklyn Nets,Houston Rockets,V
Golden State Warriors,Memphis Grizzlies,V
Orlando Magic,Los Angeles Lakers,H
Toronto Raptors,Philadelphia 76ers,V
San Antonio Spurs,Portland Trail Blazers,V
Sacramento Kings,Detroit Pistons,H
Miami Heat,Utah Jazz,H
Golden State Warriors,Minnesota Timberwolves,V
Phoenix Suns,Los Angeles Clippers,H
Boston Celtics,Atlanta Hawks,H
Chicago Bulls,Charlotte Hornets,H
Dallas Mavericks,Los Angeles Lakers,H
Denver Nuggets,Houston Rockets,H
Indiana Pacers,Minnesota Timberwolves,H
Memphis Grizzlies,Portland Trail Blazers,H
Cleveland Cavaliers,New York Knicks,V
Oklahoma City Thunder,Philadelphia 76ers,H
Orlando Magic,Utah Jazz,H
Sacramento Kings,Brooklyn Nets,H
Toronto Raptors,New Orleans Pelicans,H
Golden State Warriors,Brooklyn Nets,H
Dallas Mavericks,Houston Rockets,V
Los Angeles Clippers,Detroit Pistons,H
Milwaukee Bucks,Cleveland Cavaliers,H
Phoenix Suns,Denver Nuggets,H
San Antonio Spurs,Philadelphia 76ers,H
Washington Wizards,Orlando Magic,H
Utah Jazz,Atlanta Hawks,V
Charlotte Hornets,Portland Trail Blazers,H
Los Angeles Lakers,Detroit Pistons,H
Memphis Grizzlies,Minnesota Timberwolves,V
New York Knicks,New Orleans Pelicans,H
Boston Celtics,Oklahoma City Thunder,V
Sacramento Kings,Toronto Raptors,H
Chicago Bulls,Indiana Pacers,H
Boston Celtics,Houston Rockets,V
Memphis Grizzlies,Oklahoma City Thunder,H
Dallas Mavericks,Philadelphia 76ers,V
Phoenix Suns,Los Angeles Lakers,H
San Antonio Spurs,Portland Trail Blazers,H
Brooklyn Nets,Atlanta Hawks,H
Detroit Pistons,Cleveland Cavaliers,H
Golden State Warriors,Toronto Raptors,H
Minnesota Timberwolves,Miami Heat,V
Denver Nuggets,New Orleans Pelicans,V
New York Knicks,Charlotte Hornets,H
Washington Wizards,Milwaukee Bucks,H
Atlanta Hawks,Sacramento Kings,H
Dallas Mavericks,Boston Celtics,V
Charlotte Hornets,Brooklyn Nets,H
Houston Rockets,Portland Trail Blazers,H
Oklahoma City Thunder,New Orleans Pelicans,H
Orlando Magic,Minnesota Timberwolves,H
Indiana Pacers,Philadelphia 76ers,V
Chicago Bulls,Phoenix Suns,V
San Antonio Spurs,Denver Nuggets,H
Utah Jazz,Toronto Raptors,H
Cleveland Cavaliers,Milwaukee Bucks,H
Golden State Warriors,Los Angeles Clippers,V
Miami Heat,Sacramento Kings,H
Boston Celtics,Brooklyn Nets,H
Charlotte Hornets,Philadelphia 76ers,H
Dallas Mavericks,Utah Jazz,H
Phoenix Suns,Denver Nuggets,V
Golden State Warriors,Chicago Bulls,H
Toronto Raptors,Los Angeles Lakers,V
Memphis Grizzlies,Houston Rockets,H
Detroit Pistons,Minnesota Timberwolves,V
New Orleans Pelicans,San Antonio Spurs,H
New York Knicks,Oklahoma City Thunder,V
Portland Trail Blazers,Los Angeles Clippers,H
Cleveland Cavaliers,Atlanta Hawks,H
Washington Wizards,Detroit Pistons,V
New York Knicks,Houston Rockets,V
Indiana Pacers,Milwaukee Bucks,H
Miami Heat,Philadelphia 76ers,H
Sacramento Kings,Orlando Magic,V
San Antonio Spurs,Memphis Grizzlies,H
Brooklyn Nets,Boston Celtics,H
Golden State Warriors,Denver Nuggets,V
Toronto Raptors,Los Angeles Clippers,V
Portland Trail Blazers,Los Angeles Lakers,V
New Orleans Pelicans,Phoenix Suns,H
Oklahoma City Thunder,Dallas Mavericks,H
Charlotte Hornets,Sacramento Kings,H
Cleveland Cavaliers,Orlando Magic,H
Miami Heat,New York Knicks,H
Milwaukee Bucks,Detroit Pistons,H
Minnesota Timberwolves,Philadelphia 76ers,H
San Antonio Spurs,Phoenix Suns,H
Oklahoma City Thunder,Utah Jazz,V
Atlanta Hawks,Boston Celtics,H
Los Angeles Clippers,Denver Nuggets,V
Golden State Warriors,Los Angeles Lakers,H
Memphis Grizzlies,Dallas Mavericks,H
Chicago Bulls,Portland Trail Blazers,V
Indiana Pacers,Washington Wizards,V
Boston Celtics,Philadelphia 76ers,H
Charlotte Hornets,Washington Wizards,H
Detroit Pistons,Miami Heat,H
Memphis Grizzlies,Houston Rockets,V
Utah Jazz,Los Angeles Clippers,V
Sacramento Kings,Milwaukee Bucks,V
Minnesota Timberwolves,Atlanta Hawks,H
Oklahoma City Thunder,Brooklyn Nets,H
Orlando Magic,New York Knicks,H
New Orleans Pelicans,Phoenix Suns,V
San Antonio Spurs,Dallas Mavericks,H
Toronto Raptors,Cleveland Cavaliers,H
Boston Celtics,Washington Wizards,H
Cleveland Cavaliers,Charlotte Hornets,V
San Antonio Spurs,Denver Nuggets,V
Houston Rockets,Philadelphia 76ers,H
Indiana Pacers,Chicago Bulls,H
Los Angeles Clippers,New Orleans Pelicans,H
Atlanta Hawks,Memphis Grizzlies,V
Miami Heat,New York Knicks,V
Oklahoma City Thunder,Detroit Pistons,H
Orlando Magic,Milwaukee Bucks,H
Golden State Warriors,Phoenix Suns,V
Minnesota Timberwolves,Sacramento Kings,V
Cleveland Cavaliers,Brooklyn Nets,H
Dallas Mavericks,Denver Nuggets,H
Golden State Warriors,Sacramento Kings,H
Portland Trail Blazers,Los Angeles Lakers,H
San Antonio Spurs,Atlanta Hawks,H
Utah Jazz,New Orleans Pelicans,H
Toronto Raptors,Washington Wizards,V
Brooklyn Nets,Detroit Pistons,H
Charlotte Hornets,Milwaukee Bucks,H
Los Angeles Clippers,Minnesota Timberwolves,H
Indiana Pacers,Los Angeles Lakers,V
Memphis Grizzlies,Philadelphia 76ers,H
Houston Rockets,New York Knicks,V
Orlando Magic,Boston Celtics,H
Phoenix Suns,Toronto Raptors,V
Atlanta Hawks,Oklahoma City Thunder,H
Chicago Bulls,San Antonio Spurs,H
Detroit Pistons,Houston Rockets,H
Los Angeles Clippers,Portland Trail Blazers,H
Boston Celtics,Miami Heat,V
Milwaukee Bucks,Denver Nuggets,H
Sacramento Kings,Dallas Mavericks,H
Golden State Warriors,Utah Jazz,V
Brooklyn Nets,Phoenix Suns,H
Washington Wizards,Cleveland Cavaliers,V
Orlando Magic,Minnesota Timberwolves,V
Memphis Grizzlies,New Orleans Pelicans,V
Philadelphia 76ers,Los Angeles Lakers,H
Dallas Mavericks,Portland Trail Blazers,V
Toronto Raptors,Atlanta Hawks,V
Chicago Bulls,Denver Nuggets,H
Golden State Warriors,Charlotte Hornets,V
Detroit Pistons,Phoenix Suns,H
Houston Rockets,New Orleans Pelicans,H
Indiana Pacers,Los Angeles Clippers,V
New York Knicks,Philadelphia 76ers,H
San Antonio Spurs,Milwaukee Bucks,H
Los Angeles Lakers,Washington Wizards,V
San Antonio Spurs,Memphis Grizzlies,V
Miami Heat,Oklahoma City Thunder,H
Portland Trail Blazers,Indiana Pacers,H
Boston Celtics,Sacramento Kings,V
Denver Nuggets,Toronto Raptors,V
Orlando Magic,Utah Jazz,V
Atlanta Hawks,Los Angeles Lakers,H
Houston Rockets,Dallas Mavericks,V
Detroit Pistons,Milwaukee Bucks,H
New Orleans Pelicans,Cleveland Cavaliers,H
New York Knicks,Brooklyn Nets,H
Washington Wizards,Phoenix Suns,H
Charlotte Hornets,Chicago Bulls,V
Houston Rockets,Sacramento Kings,H
Los Angeles Clippers,Orlando Magic,H
Miami Heat,Cleveland Cavaliers,H
Milwaukee Bucks,New York Knicks,H
Portland Trail Blazers,Minnesota Timberwolves,V
Denver Nuggets,Philadelphia 76ers,V
San Antonio Spurs,Boston Celtics,H
Golden State Warriors,Toronto Raptors,V
Utah Jazz,Indiana Pacers,H
Golden State Warriors,Brooklyn Nets,V
Detroit Pistons,Los Angeles Lakers,H
Memphis Grizzlies,Phoenix Suns,H
Oklahoma City Thunder,Sacramento Kings,H
Dallas Mavericks,Washington Wizards,V
Phoenix Suns,Chicago Bulls,V
Charlotte Hornets,Detroit Pistons,H
Washington Wizards,Miami Heat,V
Milwaukee Bucks,Portland Trail Blazers,H
Los Angeles Clippers,Minnesota Timberwolves,V
Boston Celtics,New Orleans Pelicans,V
Dallas Mavericks,New York Knicks,V
San Antonio Spurs,Philadelphia 76ers,V
Toronto Raptors,Los Angeles Lakers,H
Brooklyn Nets,Houston Rockets,H
Cleveland Cavaliers,Portland Trail Blazers,H
Orlando Magic,Denver Nuggets,V
Golden State Warriors,Indiana Pacers,V
Oklahoma City Thunder,Memphis Grizzlies,V
Sacramento Kings,Utah Jazz,H
Boston Celtics,Chicago Bulls,H
Charlotte Hornets,Miami Heat,H
Atlanta Hawks,Dallas Mavericks,V
Memphis Grizzlies,Detroit Pistons,V
Los Angeles Clippers,Milwaukee Bucks,V
Minnesota Timberwolves,Los Angeles Lakers,H
Phoenix Suns,Orlando Magic,H
Toronto Raptors,San Antonio Spurs,H
Utah Jazz,New York Knicks,H
Houston Rockets,Washington Wizards,V
Brooklyn Nets,Philadelphia 76ers,H
Chicago Bulls,Los Angeles Clippers,H
Oklahoma City Thunder,Atlanta Hawks,H
Sacramento Kings,New York Knicks,H
Golden State Warriors,Boston Celtics,V
Denver Nuggets,Minnesota Timberwolves,H
Indiana Pacers,Miami Heat,H
Charlotte Hornets,Memphis Grizzlies,V
New Orleans Pelicans,Washington Wizards,H
Cleveland Cavaliers,Orlando Magic,V
Detroit Pistons,Philadelphia 76ers,V
Portland Trail Blazers,Phoenix Suns,V
San Antonio Spurs,Los Angeles Lakers,H
Toronto Raptors,Milwaukee Bucks,H
Oklahoma City Thunder,Utah Jazz,V
San Antonio Spurs,Atlanta Hawks,V
Los Angeles Clippers,Brooklyn Nets,V
Chicago Bulls,New Orleans Pelicans,H
Boston Celtics,Charlotte Hornets,V
Washington Wizards,Dallas Mavericks,V
Detroit Pistons,Indiana Pacers,H
Houston Rockets,Los Angeles Lakers,H
Milwaukee Bucks,Golden State Warriors,H
New York Knicks,Portland Trail Blazers,V
Miami Heat,Memphis Grizzlies,H
Oklahoma City Thunder,Utah Jazz,H
Phoenix Suns,Minnesota Timberwolves,H
Toronto Raptors,Philadelphia 76ers,H
Miami Heat,Atlanta Hawks,V
Orlando Magic,Brooklyn Nets,V
Chicago Bulls,Philadelphia 76ers,H
Dallas Mavericks,Phoenix Suns,H
Denver Nuggets,Houston Rockets,H
Los Angeles Clippers,Detroit Pistons,V
Indiana Pacers,Toronto Raptors,H
Memphis Grizzlies,Washington Wizards,H
Portland Trail Blazers,New Orleans Pelicans,H
San Antonio Spurs,Utah Jazz,H
Cleveland Cavaliers,Boston Celtics,V
Los Angeles Lakers,Milwaukee Bucks,H
Denver Nuggets,Minnesota Timberwolves,V
Sacramento Kings,Houston Rockets,H
Atlanta Hawks,Philadelphia 76ers,H
Miami Heat,Brooklyn Nets,V
Chicago Bulls,Memphis Grizzlies,H
Detroit Pistons,Boston Celtics,H
Golden State Warriors,Phoenix Suns,H
Indiana Pacers,Dallas Mavericks,H
Los Angeles Clippers,Milwaukee Bucks,H
New York Knicks,Minnesota Timberwolves,H
Oklahoma City Thunder,Portland Trail Blazers,H
Orlando Magic,Charlotte Hornets,H
San Antonio Spurs,Washington Wizards,H
New Orleans Pelicans,Utah Jazz,V
Charlotte Hornets,Toronto Raptors,H
Cleveland Cavaliers,Oklahoma City Thunder,H
Houston Rockets,Los Angeles Lakers,V
Atlanta Hawks,Boston Celtics,V
Detroit Pistons,Chicago Bulls,V
Dallas Mavericks,Memphis Grizzlies,H
Golden State Warriors,Milwaukee Bucks,H
Indiana Pacers,Brooklyn Nets,H
Toronto Raptors,Miami Heat,V
Minnesota Timberwolves,Sacramento Kings,H
Orlando Magic,Portland Trail Blazers,H
New York Knicks,Philadelphia 76ers,V
Phoenix Suns,New Orleans Pelicans,H
San Antonio Spurs,Los Angeles Clippers,H
Utah Jazz,Denver Nuggets,H
Houston Rockets,Los Angeles Clippers,H
Memphis Grizzlies,Indiana Pacers,H
New York Knicks,Chicago Bulls,H
Oklahoma City Thunder,Los Angeles Lakers,H
Washington Wizards,Charlotte Hornets,H
Minnesota Timberwolves,Brooklyn Nets,V
Cleveland Cavaliers,Philadelphia 76ers,H
New Orleans Pelicans,Denver Nuggets,V
Miami Heat,Portland Trail Blazers,H
Atlanta Hawks,Orlando Magic,V
Milwaukee Bucks,Phoenix Suns,V
Sacramento Kings,Toronto Raptors,V
Atlanta Hawks,Portland Trail Blazers,H
Boston Celtics,Minnesota Timberwolves,H
Brooklyn Nets,Chicago Bulls,V
Houston Rockets,Charlotte Hornets,H
Oklahoma City Thunder,Los Angeles Clippers,V
Orlando Magic,New York Knicks,V
San Antonio Spurs,Indiana Pacers,H
Utah Jazz,Phoenix Suns,H
Washington Wizards,Sacramento Kings,H
Los Angeles Lakers,Denver Nuggets,V
Detroit Pistons,Miami Heat,V
Memphis Grizzlies,Philadelphia 76ers,V
Toronto Raptors,Dallas Mavericks,H
Atlanta Hawks,Detroit Pistons,H
Dallas Mavericks,Brooklyn Nets,V
Boston Celtics,Charlotte Hornets,V
Cleveland Cavaliers,New York Knicks,H
Golden State Warriors,Utah Jazz,H
Sacramento Kings,Indiana Pacers,V
Oklahoma City Thunder,Los Angeles Lakers,V
Milwaukee Bucks,Philadelphia 76ers,H
San Antonio Spurs,Minnesota Timberwolves,V
New Orleans Pelicans,Portland Trail Blazers,H
Orlando Magic,Houston Rockets,H
Denver Nuggets,Phoenix Suns,V
Washington Wizards,Memphis Grizzlies,H
Golden State Warriors,Cleveland Cavaliers,H
Houston Rockets,San Antonio Spurs,H
Los Angeles Clippers,Los Angeles Lakers,V
Miami Heat,New Orleans Pelicans,H
